Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - ASO.txt

Data for: 2017-01-16 08:10:00 UTC - 2017-12-16 12:10:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
ASO	2017-04-04 07:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.725	0.0	2017-04-04	03:25:00	US/Eastern
ASO	2017-04-04 07:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.725	0.0	2017-04-04	03:40:00	US/Eastern
ASO	2017-04-04 07:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.725	0.0	2017-04-04	03:55:00	US/Eastern
ASO	2017-04-04 08:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.725	0.0	2017-04-04	04:10:00	US/Eastern
ASO	2017-04-04 08:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.725	0.0	2017-04-04	04:25:00	US/Eastern
ASO	2017-04-04 08:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.725	0.0	2017-04-04	04:40:00	US/Eastern
ASO	2017-04-04 08:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.725	0.0	2017-04-04	04:55:00	US/Eastern
ASO	2017-04-04 09:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.725	0.0	2017-04-04	05:10:00	US/Eastern
ASO	2017-04-04 09:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.725	0.0	2017-04-04	05:25:00	US/Eastern
ASO	2017-04-04 09:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.725	0.0	2017-04-04	05:40:00	US/Eastern
ASO	2017-04-04 09:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.725	0.0	2017-04-04	05:55:00	US/Eastern
ASO	2017-04-04 10:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.725	0.0	2017-04-04	06:10:00	US/Eastern
ASO	2017-04-04 10:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.725	0.0	2017-04-04	06:25:00	US/Eastern
ASO	2017-04-04 10:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.725	0.0	2017-04-04	06:40:00	US/Eastern
ASO	2017-04-04 10:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.725	0.0	2017-04-04	06:55:00	US/Eastern
ASO	2017-04-04 11:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.725	0.0	2017-04-04	07:10:00	US/Eastern
ASO	2017-04-04 11:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.725	0.0	2017-04-04	07:25:00	US/Eastern
ASO	2017-04-04 11:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.725	0.0	2017-04-04	07:40:00	US/Eastern
ASO	2017-04-04 11:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.725	0.0	2017-04-04	07:55:00	US/Eastern
ASO	2017-04-04 12:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.725	0.0	2017-04-04	08:10:00	US/Eastern
ASO	2017-04-04 12:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.725	0.0	2017-04-04	08:25:00	US/Eastern
ASO	2017-04-04 12:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.725	0.0	2017-04-04	08:40:00	US/Eastern
ASO	2017-04-04 12:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.725	0.0	2017-04-04	08:55:00	US/Eastern
ASO	2017-04-04 13:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.336	0.0	2017-04-04	09:10:00	US/Eastern
ASO	2017-04-04 13:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.151	0.367	2.315	1.0	2.336	0.0	2017-04-04	09:25:00	US/Eastern
ASO	2017-04-04 13:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.151	0.367	2.311	1.0	2.336	0.0	2017-04-04	09:40:00	US/Eastern
ASO	2017-04-04 13:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.152	0.368	2.306	1.0	2.336	0.0	2017-04-04	09:55:00	US/Eastern
ASO	2017-04-04 14:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.152	0.368	2.301	1.0	2.336	0.0	2017-04-04	10:10:00	US/Eastern
ASO	2017-04-04 14:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.153	0.369	2.297	1.0	2.336	0.0	2017-04-04	10:25:00	US/Eastern
ASO	2017-04-04 14:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.153	0.369	2.292	1.0	2.336	0.0	2017-04-04	10:40:00	US/Eastern
ASO	2017-04-04 14:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.154	0.37	2.288	1.0	2.336	0.0	2017-04-04	10:55:00	US/Eastern
ASO	2017-04-04 15:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.154	0.37	2.283	1.0	2.336	0.0	2017-04-04	11:10:00	US/Eastern
ASO	2017-04-04 15:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.155	0.371	2.278	1.0	2.336	0.0	2017-04-04	11:25:00	US/Eastern
ASO	2017-04-04 15:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.155	0.372	2.274	1.0	2.336	0.0	2017-04-04	11:40:00	US/Eastern
ASO	2017-04-04 15:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.156	0.372	2.269	1.0	2.336	0.0	2017-04-04	11:55:00	US/Eastern
ASO	2017-04-04 16:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.156	0.373	2.265	1.0	2.336	0.0	2017-04-04	12:10:00	US/Eastern
ASO	2017-04-04 16:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.157	0.373	2.26	1.0	2.336	0.0	2017-04-04	12:25:00	US/Eastern
ASO	2017-04-04 16:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.157	0.374	2.256	1.0	2.336	0.0	2017-04-04	12:40:00	US/Eastern
ASO	2017-04-04 16:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.158	0.374	2.252	1.0	2.336	0.0	2017-04-04	12:55:00	US/Eastern
ASO	2017-04-04 17:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.158	0.375	2.247	1.0	2.336	0.0	2017-04-04	13:10:00	US/Eastern
ASO	2017-04-04 17:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.159	0.375	2.243	1.0	2.336	0.0	2017-04-04	13:25:00	US/Eastern
ASO	2017-04-04 17:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.159	0.376	2.238	1.0	2.336	0.0	2017-04-04	13:40:00	US/Eastern
ASO	2017-04-04 17:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.16	0.376	2.234	1.0	2.336	0.0	2017-04-04	13:55:00	US/Eastern
ASO	2017-04-04 18:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.16	0.377	2.23	1.0	2.336	0.0	2017-04-04	14:10:00	US/Eastern
ASO	2017-04-04 18:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.161	0.377	2.226	1.0	2.336	0.0	2017-04-04	14:25:00	US/Eastern
ASO	2017-04-04 18:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.161	0.378	2.221	1.0	2.336	0.0	2017-04-04	14:40:00	US/Eastern
ASO	2017-04-04 18:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.162	0.378	2.217	1.0	2.336	0.0	2017-04-04	14:55:00	US/Eastern
ASO	2017-04-04 19:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.163	0.378	2.213	1.0	2.336	0.0	2017-04-04	15:10:00	US/Eastern
ASO	2017-04-04 19:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.163	0.379	2.209	1.0	2.336	0.0	2017-04-04	15:25:00	US/Eastern
ASO	2017-04-04 19:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.164	0.379	2.204	1.0	2.336	0.0	2017-04-04	15:40:00	US/Eastern
ASO	2017-04-04 19:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.164	0.38	2.2	1.0	2.336	0.0	2017-04-04	15:55:00	US/Eastern
ASO	2017-04-04 20:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.165	0.38	2.196	1.0	2.336	0.0	2017-04-04	16:10:00	US/Eastern
ASO	2017-04-04 20:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.165	0.381	2.192	1.0	2.336	0.0	2017-04-04	16:25:00	US/Eastern
ASO	2017-04-04 20:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.166	0.381	2.188	1.0	2.336	0.0	2017-04-04	16:40:00	US/Eastern
ASO	2017-04-04 20:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.166	0.382	2.184	1.0	2.336	0.0	2017-04-04	16:55:00	US/Eastern
ASO	2017-04-04 21:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.167	0.382	2.179	1.0	2.336	0.0	2017-04-04	17:10:00	US/Eastern
ASO	2017-04-04 21:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.167	0.383	2.175	1.0	2.336	0.0	2017-04-04	17:25:00	US/Eastern
ASO	2017-04-04 21:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.168	0.383	2.171	1.0	2.336	0.0	2017-04-04	17:40:00	US/Eastern
ASO	2017-04-04 21:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.168	0.384	2.167	1.0	2.336	0.0	2017-04-04	17:55:00	US/Eastern
ASO	2017-04-04 22:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.169	0.384	2.163	1.0	2.336	0.0	2017-04-04	18:10:00	US/Eastern
ASO	2017-04-04 22:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.169	0.385	2.159	1.0	2.336	0.0	2017-04-04	18:25:00	US/Eastern
ASO	2017-04-04 22:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.17	0.385	2.155	1.0	2.336	0.0	2017-04-04	18:40:00	US/Eastern
ASO	2017-04-04 22:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.17	0.386	2.151	1.0	2.336	0.0	2017-04-04	18:55:00	US/Eastern
ASO	2017-04-04 23:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.171	0.386	2.147	1.0	2.336	0.0	2017-04-04	19:10:00	US/Eastern
ASO	2017-04-04 23:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.171	0.387	2.143	1.0	2.336	0.0	2017-04-04	19:25:00	US/Eastern
ASO	2017-04-04 23:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.172	0.387	2.139	1.0	2.336	0.0	2017-04-04	19:40:00	US/Eastern
ASO	2017-04-04 23:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.172	0.388	2.136	1.0	2.336	0.0	2017-04-04	19:55:00	US/Eastern
ASO	2017-04-05 00:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.173	0.388	2.132	1.0	2.336	0.0	2017-04-04	20:10:00	US/Eastern
ASO	2017-04-05 00:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.173	0.388	2.128	1.0	2.336	0.0	2017-04-04	20:25:00	US/Eastern
ASO	2017-04-05 00:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.174	0.389	2.124	1.0	2.336	0.0	2017-04-04	20:40:00	US/Eastern
ASO	2017-04-05 00:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.174	0.389	2.12	1.0	2.336	0.0	2017-04-04	20:55:00	US/Eastern
ASO	2017-04-05 01:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.175	0.39	2.116	1.0	2.336	0.0	2017-04-04	21:10:00	US/Eastern
ASO	2017-04-05 01:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.176	0.39	2.112	1.0	2.336	0.0	2017-04-04	21:25:00	US/Eastern
ASO	2017-04-05 01:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.176	0.391	2.109	1.0	2.336	0.0	2017-04-04	21:40:00	US/Eastern
ASO	2017-04-05 01:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.177	0.391	2.105	1.0	2.336	0.0	2017-04-04	21:55:00	US/Eastern
ASO	2017-04-05 02:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.177	0.392	2.101	1.0	2.336	0.0	2017-04-04	22:10:00	US/Eastern
ASO	2017-04-05 02:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.178	0.392	2.097	1.0	2.336	0.0	2017-04-04	22:25:00	US/Eastern
ASO	2017-04-05 02:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.178	0.393	2.094	1.0	2.336	0.0	2017-04-04	22:40:00	US/Eastern
ASO	2017-04-05 02:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.179	0.393	2.09	1.0	2.336	0.0	2017-04-04	22:55:00	US/Eastern
ASO	2017-04-05 03:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.179	0.393	2.086	1.0	2.336	0.0	2017-04-04	23:10:00	US/Eastern
ASO	2017-04-05 03:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.18	0.394	2.083	1.0	2.336	0.0	2017-04-04	23:25:00	US/Eastern
ASO	2017-04-05 03:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.18	0.394	2.079	1.0	2.336	0.0	2017-04-04	23:40:00	US/Eastern
ASO	2017-04-05 03:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.181	0.395	2.075	1.0	2.336	0.0	2017-04-04	23:55:00	US/Eastern
ASO	2017-04-05 04:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.181	0.395	2.072	1.0	2.336	0.0	2017-04-05	00:10:00	US/Eastern
ASO	2017-04-05 04:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.182	0.396	2.068	1.0	2.336	0.0	2017-04-05	00:25:00	US/Eastern
ASO	2017-04-05 04:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.182	0.396	2.064	1.0	2.336	0.0	2017-04-05	00:40:00	US/Eastern
ASO	2017-04-05 04:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.183	0.397	2.061	1.0	2.336	0.0	2017-04-05	00:55:00	US/Eastern
ASO	2017-04-05 05:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.183	0.397	2.057	1.0	2.336	0.0	2017-04-05	01:10:00	US/Eastern
ASO	2017-04-05 05:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.184	0.397	2.054	1.0	2.336	0.0	2017-04-05	01:25:00	US/Eastern
ASO	2017-04-05 05:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.184	0.398	2.05	1.0	2.336	0.0	2017-04-05	01:40:00	US/Eastern
ASO	2017-04-11 08:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.2	0.41	1.949	1.0	2.529	0.0	2017-04-11	04:10:00	US/Eastern
ASO	2017-04-11 08:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.2	0.41	1.949	1.0	2.529	0.0	2017-04-11	04:25:00	US/Eastern
ASO	2017-04-11 08:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.2	0.41	1.949	1.0	2.529	0.0	2017-04-11	04:40:00	US/Eastern
ASO	2017-04-11 08:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.2	0.41	1.949	1.0	2.529	0.0	2017-04-11	04:55:00	US/Eastern
ASO	2017-04-11 09:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.2	0.41	1.949	1.0	2.529	0.0	2017-04-11	05:10:00	US/Eastern
ASO	2017-04-11 09:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.2	0.41	1.949	1.0	2.529	0.0	2017-04-11	05:25:00	US/Eastern
ASO	2017-04-11 09:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.2	0.41	1.949	1.0	2.529	0.0	2017-04-11	05:40:00	US/Eastern
ASO	2017-04-11 09:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.2	0.41	1.949	1.0	2.529	0.0	2017-04-11	05:55:00	US/Eastern
ASO	2017-04-11 10:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.2	0.41	1.949	1.0	2.529	0.0	2017-04-11	06:10:00	US/Eastern
ASO	2017-04-11 10:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.2	0.41	1.949	1.0	2.529	0.0	2017-04-11	06:25:00	US/Eastern
ASO	2017-04-11 10:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.2	0.41	1.949	1.0	2.529	0.0	2017-04-11	06:40:00	US/Eastern
ASO	2017-04-11 10:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.2	0.41	1.949	1.0	2.529	0.0	2017-04-11	06:55:00	US/Eastern
ASO	2017-04-11 11:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.2	0.41	1.949	1.0	2.529	0.0	2017-04-11	07:10:00	US/Eastern
ASO	2017-04-11 11:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.2	0.41	1.949	1.0	2.529	0.0	2017-04-11	07:25:00	US/Eastern
ASO	2017-04-11 11:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.2	0.41	1.949	1.0	2.529	0.0	2017-04-11	07:40:00	US/Eastern
ASO	2017-04-11 11:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.2	0.41	1.949	1.0	2.529	0.0	2017-04-11	07:55:00	US/Eastern
ASO	2017-04-11 12:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.2	0.41	1.949	1.0	2.529	0.0	2017-04-11	08:10:00	US/Eastern
ASO	2017-04-11 12:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.2	0.41	1.949	1.0	2.529	0.0	2017-04-11	08:25:00	US/Eastern
ASO	2017-04-11 12:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.2	0.41	1.949	1.0	2.529	0.0	2017-04-11	08:40:00	US/Eastern
ASO	2017-04-11 12:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.2	0.41	1.949	1.0	2.529	0.0	2017-04-11	08:55:00	US/Eastern
ASO	2017-04-11 13:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.2	0.41	1.949	1.0	2.323	0.0	2017-04-11	09:10:00	US/Eastern
ASO	2017-04-11 13:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.201	0.411	1.946	1.0	2.323	0.0	2017-04-11	09:25:00	US/Eastern
ASO	2017-04-11 13:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.201	0.411	1.943	1.0	2.323	0.0	2017-04-11	09:40:00	US/Eastern
ASO	2017-04-11 13:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.202	0.412	1.94	1.0	2.323	0.0	2017-04-11	09:55:00	US/Eastern
ASO	2017-04-11 14:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.202	0.412	1.937	1.0	2.323	0.0	2017-04-11	10:10:00	US/Eastern
ASO	2017-04-11 14:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.203	0.412	1.934	1.0	2.323	0.0	2017-04-11	10:25:00	US/Eastern
ASO	2017-04-11 14:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.203	0.413	1.931	1.0	2.323	0.0	2017-04-11	10:40:00	US/Eastern
ASO	2017-04-11 14:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.204	0.413	1.927	1.0	2.323	0.0	2017-04-11	10:55:00	US/Eastern
ASO	2017-04-11 15:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.204	0.414	1.924	1.0	2.323	0.0	2017-04-11	11:10:00	US/Eastern
ASO	2017-04-11 15:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.205	0.414	1.921	1.0	2.323	0.0	2017-04-11	11:25:00	US/Eastern
ASO	2017-04-11 15:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.205	0.414	1.918	1.0	2.323	0.0	2017-04-11	11:40:00	US/Eastern
ASO	2017-04-11 15:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.206	0.415	1.915	1.0	2.323	0.0	2017-04-11	11:55:00	US/Eastern
ASO	2017-04-11 16:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.206	0.415	1.912	1.0	2.323	0.0	2017-04-11	12:10:00	US/Eastern
ASO	2017-04-11 16:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.207	0.416	1.909	1.0	2.323	0.0	2017-04-11	12:25:00	US/Eastern
ASO	2017-04-11 16:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.207	0.416	1.906	1.0	2.323	0.0	2017-04-11	12:40:00	US/Eastern
ASO	2017-04-11 16:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.208	0.416	1.903	1.0	2.323	0.0	2017-04-11	12:55:00	US/Eastern
ASO	2017-04-11 17:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.208	0.417	1.9	1.0	2.323	0.0	2017-04-11	13:10:00	US/Eastern
ASO	2017-04-11 17:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.209	0.417	1.897	1.0	2.323	0.0	2017-04-11	13:25:00	US/Eastern
ASO	2017-04-11 17:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.209	0.417	1.894	1.0	2.323	0.0	2017-04-11	13:40:00	US/Eastern
ASO	2017-04-11 17:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.21	0.418	1.891	1.0	2.323	0.0	2017-04-11	13:55:00	US/Eastern
ASO	2017-04-11 18:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.21	0.418	1.888	1.0	2.323	0.0	2017-04-11	14:10:00	US/Eastern
ASO	2017-04-11 18:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.211	0.419	1.885	1.0	2.323	0.0	2017-04-11	14:25:00	US/Eastern
ASO	2017-04-11 18:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.211	0.419	1.882	1.0	2.323	0.0	2017-04-11	14:40:00	US/Eastern
ASO	2017-04-11 18:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.212	0.419	1.879	1.0	2.323	0.0	2017-04-11	14:55:00	US/Eastern
ASO	2017-04-11 19:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.213	0.42	1.876	1.0	2.323	0.0	2017-04-11	15:10:00	US/Eastern
ASO	2017-04-11 19:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.213	0.42	1.873	1.0	2.323	0.0	2017-04-11	15:25:00	US/Eastern
ASO	2017-04-11 19:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.214	0.42	1.871	1.0	2.323	0.0	2017-04-11	15:40:00	US/Eastern
ASO	2017-04-11 19:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.214	0.421	1.868	1.0	2.323	0.0	2017-04-11	15:55:00	US/Eastern
ASO	2017-04-11 20:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.215	0.421	1.865	1.0	2.323	0.0	2017-04-11	16:10:00	US/Eastern
ASO	2017-04-11 20:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.215	0.422	1.862	1.0	2.323	0.0	2017-04-11	16:25:00	US/Eastern
ASO	2017-04-11 20:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.216	0.422	1.859	1.0	2.323	0.0	2017-04-11	16:40:00	US/Eastern
ASO	2017-04-11 20:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.216	0.422	1.856	1.0	2.323	0.0	2017-04-11	16:55:00	US/Eastern
ASO	2017-04-11 21:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.217	0.423	1.853	1.0	2.323	0.0	2017-04-11	17:10:00	US/Eastern
ASO	2017-04-11 21:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.217	0.423	1.85	1.0	2.323	0.0	2017-04-11	17:25:00	US/Eastern
ASO	2017-04-11 21:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.218	0.423	1.848	1.0	2.323	0.0	2017-04-11	17:40:00	US/Eastern
