Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - IAH.txt

Data for: 2016-03-23 15:55:00 UTC - 2016-08-27 20:25:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
IAH	2016-04-09 01:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-08	21:40:00	US/Eastern
IAH	2016-04-09 01:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-08	21:55:00	US/Eastern
IAH	2016-04-09 02:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-08	22:10:00	US/Eastern
IAH	2016-04-09 02:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-08	22:25:00	US/Eastern
IAH	2016-04-09 02:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-08	22:40:00	US/Eastern
IAH	2016-04-09 02:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-08	22:55:00	US/Eastern
IAH	2016-04-09 03:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-08	23:10:00	US/Eastern
IAH	2016-04-09 03:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-08	23:25:00	US/Eastern
IAH	2016-04-09 03:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-08	23:40:00	US/Eastern
IAH	2016-04-09 03:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-08	23:55:00	US/Eastern
IAH	2016-04-09 04:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	00:10:00	US/Eastern
IAH	2016-04-09 04:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	00:25:00	US/Eastern
IAH	2016-04-09 04:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	00:40:00	US/Eastern
IAH	2016-04-09 04:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	00:55:00	US/Eastern
IAH	2016-04-09 05:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	01:10:00	US/Eastern
IAH	2016-04-09 05:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	01:25:00	US/Eastern
IAH	2016-04-09 05:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	01:40:00	US/Eastern
IAH	2016-04-09 05:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	01:55:00	US/Eastern
IAH	2016-04-09 06:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	02:10:00	US/Eastern
IAH	2016-04-09 06:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	02:25:00	US/Eastern
IAH	2016-04-09 06:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	02:40:00	US/Eastern
IAH	2016-04-09 06:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	02:55:00	US/Eastern
IAH	2016-04-09 07:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	03:10:00	US/Eastern
IAH	2016-04-09 07:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	03:25:00	US/Eastern
IAH	2016-04-09 07:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	03:40:00	US/Eastern
IAH	2016-04-09 07:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	03:55:00	US/Eastern
IAH	2016-04-09 08:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	04:10:00	US/Eastern
IAH	2016-04-09 08:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	04:25:00	US/Eastern
IAH	2016-04-09 08:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	04:40:00	US/Eastern
IAH	2016-04-09 08:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	04:55:00	US/Eastern
IAH	2016-04-09 09:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	05:10:00	US/Eastern
IAH	2016-04-09 09:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	05:25:00	US/Eastern
IAH	2016-04-09 09:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	05:40:00	US/Eastern
IAH	2016-04-09 09:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	05:55:00	US/Eastern
IAH	2016-04-09 10:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	06:10:00	US/Eastern
IAH	2016-04-09 10:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	06:25:00	US/Eastern
IAH	2016-04-09 10:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	06:40:00	US/Eastern
IAH	2016-04-09 10:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	06:55:00	US/Eastern
IAH	2016-04-09 11:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	07:10:00	US/Eastern
IAH	2016-04-09 11:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	07:25:00	US/Eastern
IAH	2016-04-09 11:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	07:40:00	US/Eastern
IAH	2016-04-09 11:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	07:55:00	US/Eastern
IAH	2016-04-09 12:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	08:10:00	US/Eastern
IAH	2016-04-09 12:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	08:25:00	US/Eastern
IAH	2016-04-09 12:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	08:40:00	US/Eastern
IAH	2016-04-09 12:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	3.09	0.0	2016-04-09	08:55:00	US/Eastern
IAH	2016-04-09 13:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.1	0.308	2.924	1.0	2.742	0.0	2016-04-09	09:10:00	US/Eastern
IAH	2016-04-09 13:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.101	0.309	2.916	1.0	2.742	0.0	2016-04-09	09:25:00	US/Eastern
IAH	2016-04-09 13:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.101	0.309	2.907	1.0	2.742	0.0	2016-04-09	09:40:00	US/Eastern
IAH	2016-04-12 08:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.793	0.0	2016-04-12	04:10:00	US/Eastern
IAH	2016-04-12 08:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.793	0.0	2016-04-12	04:25:00	US/Eastern
IAH	2016-04-12 08:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.793	0.0	2016-04-12	04:40:00	US/Eastern
IAH	2016-04-12 08:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.793	0.0	2016-04-12	04:55:00	US/Eastern
IAH	2016-04-12 09:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.793	0.0	2016-04-12	05:10:00	US/Eastern
IAH	2016-04-12 09:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.793	0.0	2016-04-12	05:25:00	US/Eastern
IAH	2016-04-12 09:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.793	0.0	2016-04-12	05:40:00	US/Eastern
IAH	2016-04-12 09:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.793	0.0	2016-04-12	05:55:00	US/Eastern
IAH	2016-04-12 10:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.793	0.0	2016-04-12	06:10:00	US/Eastern
IAH	2016-04-12 10:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.793	0.0	2016-04-12	06:25:00	US/Eastern
IAH	2016-04-12 10:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.793	0.0	2016-04-12	06:40:00	US/Eastern
IAH	2016-04-12 10:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.793	0.0	2016-04-12	06:55:00	US/Eastern
IAH	2016-04-12 11:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.793	0.0	2016-04-12	07:10:00	US/Eastern
IAH	2016-04-12 11:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.793	0.0	2016-04-12	07:25:00	US/Eastern
IAH	2016-04-12 11:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.793	0.0	2016-04-12	07:40:00	US/Eastern
IAH	2016-04-12 11:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.793	0.0	2016-04-12	07:55:00	US/Eastern
IAH	2016-04-12 12:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.793	0.0	2016-04-12	08:10:00	US/Eastern
IAH	2016-04-12 12:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.793	0.0	2016-04-12	08:25:00	US/Eastern
IAH	2016-04-12 12:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.793	0.0	2016-04-12	08:40:00	US/Eastern
IAH	2016-04-12 12:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.793	0.0	2016-04-12	08:55:00	US/Eastern
IAH	2016-04-12 13:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	09:10:00	US/Eastern
IAH	2016-04-12 13:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	09:25:00	US/Eastern
IAH	2016-04-12 13:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	09:40:00	US/Eastern
IAH	2016-04-12 13:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	09:55:00	US/Eastern
IAH	2016-04-12 14:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	10:10:00	US/Eastern
IAH	2016-04-12 14:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	10:25:00	US/Eastern
IAH	2016-04-12 14:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	10:40:00	US/Eastern
IAH	2016-04-12 14:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	10:55:00	US/Eastern
IAH	2016-04-12 15:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	11:10:00	US/Eastern
IAH	2016-04-12 15:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	11:25:00	US/Eastern
IAH	2016-04-12 15:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	11:40:00	US/Eastern
IAH	2016-04-12 15:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	11:55:00	US/Eastern
IAH	2016-04-12 16:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	12:10:00	US/Eastern
IAH	2016-04-12 16:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	12:25:00	US/Eastern
IAH	2016-04-12 16:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	12:40:00	US/Eastern
IAH	2016-04-12 16:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	12:55:00	US/Eastern
IAH	2016-04-12 17:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	13:10:00	US/Eastern
IAH	2016-04-12 17:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	13:25:00	US/Eastern
IAH	2016-04-12 17:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	13:40:00	US/Eastern
IAH	2016-04-12 17:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	13:55:00	US/Eastern
IAH	2016-04-12 18:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	14:10:00	US/Eastern
IAH	2016-04-12 18:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	14:25:00	US/Eastern
IAH	2016-04-12 18:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	14:40:00	US/Eastern
IAH	2016-04-12 18:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	14:55:00	US/Eastern
IAH	2016-04-12 19:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	15:10:00	US/Eastern
IAH	2016-04-12 19:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	15:25:00	US/Eastern
IAH	2016-04-12 19:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	15:40:00	US/Eastern
IAH	2016-04-12 19:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	15:55:00	US/Eastern
IAH	2016-04-12 20:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	16:10:00	US/Eastern
IAH	2016-04-12 20:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	16:25:00	US/Eastern
IAH	2016-04-12 20:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	16:40:00	US/Eastern
IAH	2016-04-12 20:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	16:55:00	US/Eastern
IAH	2016-04-12 21:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	17:10:00	US/Eastern
IAH	2016-04-12 21:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	17:25:00	US/Eastern
IAH	2016-04-12 21:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	17:40:00	US/Eastern
IAH	2016-04-12 21:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	17:55:00	US/Eastern
IAH	2016-04-12 22:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	18:10:00	US/Eastern
IAH	2016-04-12 22:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	18:25:00	US/Eastern
IAH	2016-04-12 22:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	18:40:00	US/Eastern
IAH	2016-04-12 22:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	18:55:00	US/Eastern
IAH	2016-04-12 23:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	19:10:00	US/Eastern
IAH	2016-04-12 23:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	19:25:00	US/Eastern
IAH	2016-04-12 23:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	19:40:00	US/Eastern
IAH	2016-04-12 23:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	19:55:00	US/Eastern
IAH	2016-04-13 00:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	20:10:00	US/Eastern
IAH	2016-04-13 00:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	20:25:00	US/Eastern
IAH	2016-04-13 00:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	20:40:00	US/Eastern
IAH	2016-04-13 00:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	20:55:00	US/Eastern
IAH	2016-04-13 01:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	21:10:00	US/Eastern
IAH	2016-04-13 01:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	21:25:00	US/Eastern
IAH	2016-04-13 01:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	21:40:00	US/Eastern
IAH	2016-04-13 01:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	21:55:00	US/Eastern
IAH	2016-04-13 02:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	22:10:00	US/Eastern
IAH	2016-04-13 02:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	22:25:00	US/Eastern
IAH	2016-04-13 02:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	22:40:00	US/Eastern
IAH	2016-04-13 02:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	22:55:00	US/Eastern
IAH	2016-04-13 03:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	23:10:00	US/Eastern
IAH	2016-04-13 03:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	23:25:00	US/Eastern
IAH	2016-04-13 03:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	23:40:00	US/Eastern
IAH	2016-04-13 03:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-12	23:55:00	US/Eastern
IAH	2016-04-13 04:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-13	00:10:00	US/Eastern
IAH	2016-04-13 04:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-13	00:25:00	US/Eastern
IAH	2016-04-13 04:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-13	00:40:00	US/Eastern
IAH	2016-04-13 04:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-13	00:55:00	US/Eastern
IAH	2016-04-13 05:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-13	01:10:00	US/Eastern
IAH	2016-04-13 05:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-13	01:25:00	US/Eastern
IAH	2016-04-13 05:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-13	01:40:00	US/Eastern
IAH	2016-04-13 05:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-13	01:55:00	US/Eastern
IAH	2016-04-13 06:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-13	02:10:00	US/Eastern
IAH	2016-04-13 06:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-13	02:25:00	US/Eastern
IAH	2016-04-13 06:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-13	02:40:00	US/Eastern
IAH	2016-04-13 06:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-13	02:55:00	US/Eastern
IAH	2016-04-13 07:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-13	03:10:00	US/Eastern
IAH	2016-04-13 07:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-13	03:25:00	US/Eastern
IAH	2016-04-13 07:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-13	03:40:00	US/Eastern
IAH	2016-04-13 07:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.362	0.0	2016-04-13	03:55:00	US/Eastern
